PeakID (cmd=annotatePeaks.pl /home/jerry/Documentos/Python3.10/prueba/datos/Sanchez_et_al_peaks.narrowPeak mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Sanchez_et_al_peak_208	chr10	74921664	74921878	+	37	NA	Intergenic	Intergenic	-45406	NM_010311	14687	Mm.32595	NM_010311	ENSMUSG00000040009	Gnaz	AI847979|Gz	guanine nucleotide binding protein, alpha z subunit	protein-coding
Sanchez_et_al_peak_720	chr13	104286977	104287096	+	37	NA	promoter-TSS (NR_136938)	promoter-TSS (NR_136938)	-799	NR_136938	108154	Mm.208125	NM_175496	ENSMUSG00000046169	Adamts6	A930019D11Rik|ADAM-TS6|b2b1879.1Clo|b2b2029Clo|b2b2182Clo|b2b2187.1Clo|b2b2228Clo	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6	protein-coding
Sanchez_et_al_peak_1741	chr4	109394223	109394342	+	37	NA	Intergenic	Intergenic	11975	NR_131195	102635290	Mm.427859	NR_131195		Ttc39aos1	Gm12750|lincRNA-EPS	Ttc39a opposite strand RNA 1	ncRNA
Sanchez_et_al_peak_715	chr13	100341941	100342084	+	37	NA	Intergenic	Intergenic	-24324	NM_021545	53880	Mm.218759	NM_021545		Naip7	Birc1g|Naip-rs4B	NLR family, apoptosis inhibitory protein 7	protein-coding
Sanchez_et_al_peak_2374	chr7	137086085	137086217	+	37	NA	intron (NM_008598, intron 3 of 4)	intron (NM_008598, intron 3 of 4)	-148532	NR_045885	100038555	Mm.444788	NR_045885	ENSMUSG00000109722	Gm10578	-	predicted gene 10578	ncRNA
Sanchez_et_al_peak_2359	chr7	130949533	130949650	+	37	NA	intron (NM_019564, intron 1 of 8)	intron (NM_019564, intron 1 of 8)	13388	NM_019564	56213	Mm.30156	NM_019564	ENSMUSG00000006205	Htra1	AI429470|HTRA|L56|Prss11|RSPP11	HtrA serine peptidase 1	protein-coding
Sanchez_et_al_peak_712	chr13	98594853	98594970	+	37	NA	Intergenic	Intergenic	42499	NM_026685	68344	Mm.28766	NM_026685	ENSMUSG00000046082	Tmem174	0610009B10Rik|AA986094	transmembrane protein 174	protein-coding
Sanchez_et_al_peak_326	chr11	22990634	22990766	+	37	NA	5' UTR (NM_009837, exon 1 of 14)	5' UTR (NM_009837, exon 1 of 14)	107	NM_009837	12464	Mm.296985	NM_009837	ENSMUSG00000007739	Cct4	2610204B21Rik|A45|C78323|Cctd	chaperonin containing Tcp1, subunit 4 (delta)	protein-coding
Sanchez_et_al_peak_1355	chr19	55941570	55941687	+	37	NA	Intergenic	Intergenic	46307	NM_001142924	21416	Mm.139815	NM_009333	ENSMUSG00000024985	Tcf7l2	TCF4B|TCF4E|Tcf-4|Tcf4	transcription factor 7 like 2, T cell specific, HMG box	protein-coding
Sanchez_et_al_peak_1306	chr19	29804844	29804961	+	37	NA	intron (NM_172836, intron 1 of 7)	intron (NM_172836, intron 1 of 7)	1107	NM_172836	240613	Mm.313351	NM_172836	ENSMUSG00000046138	9930021J03Rik	Gm9832|mKIAA2026	RIKEN cDNA 9930021J03 gene	protein-coding
Sanchez_et_al_peak_880	chr15	62712459	62712576	+	37	NA	Intergenic	Intergenic	-493066	NR_003523	67552	Mm.484027	NM_026230		H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo
Sanchez_et_al_peak_107	chr1	155810133	155810354	+	37	NA	intron (NM_001024945, intron 1 of 11)	intron (NM_001024945, intron 1 of 11)	2656	NM_001024945	104009	Mm.27035	NM_023268	ENSMUSG00000033684	Qsox1	1300003H02Rik|QSOX|Qscn6|SOx|b2b2673Clo	quiescin Q6 sulfhydryl oxidase 1	protein-coding
Sanchez_et_al_peak_1492	chr2	144270638	144270794	+	37	NA	promoter-TSS (NM_028984)	promoter-TSS (NM_028984)	-144	NM_024225	69178	Mm.273379	NM_024225	ENSMUSG00000027423	Snx5	0910001N05Rik|1810032P22Rik|AU019504|D2Ertd52e	sorting nexin 5	protein-coding
Sanchez_et_al_peak_1853	chr5	27792149	27792268	+	37	NA	promoter-TSS (NM_018878)	promoter-TSS (NM_018878)	-658	NM_018878	55982	Mm.277190	NM_018878	ENSMUSG00000002221	Paxip1	D5Ertd149e|PTIP	PAX interacting (with transcription-activation domain) protein 1	protein-coding
Sanchez_et_al_peak_1809	chr4	148074975	148075092	+	37	NA	Intergenic	Intergenic	13031	NM_009642	11610	Mm.46247	NM_009642	ENSMUSG00000029007	Agtrap	3300002E14Rik|AT1R|Atrap|D4Wsu124e	angiotensin II, type I receptor-associated protein	protein-coding
Sanchez_et_al_peak_2455	chr8	85071570	85071730	+	37	NA	promoter-TSS (NM_001039514)	promoter-TSS (NM_001039514)	-107	NM_001039514	330817	Mm.193086	NM_201408	ENSMUSG00000060038	Dhps	Dhs	deoxyhypusine synthase	protein-coding
Sanchez_et_al_peak_246	chr10	88341483	88341714	+	37	NA	intron (NM_027878, intron 2 of 6)	intron (NM_027878, intron 2 of 6)	15477	NM_027878	71712	Mm.35450	NM_027878	ENSMUSG00000020057	Dram1	1200002N14Rik|Dram	DNA-damage regulated autophagy modulator 1	protein-coding
Sanchez_et_al_peak_141	chr1	181257115	181257232	+	37	NA	Intergenic	Intergenic	-45195	NM_145514	226757	Mm.289082	NM_145514	ENSMUSG00000038733	Wdr26	1600024A01Rik|AA693241|AI447817|AU044014|C77982|Gid7	WD repeat domain 26	protein-coding
Sanchez_et_al_peak_2406	chr8	25627298	25627469	+	37	NA	intron (NM_001001735, intron 1 of 9)	B3|SINE|B2	-13194	NM_001081269	234135	Mm.217337	NM_001001735	ENSMUSG00000054823	Nsd3	6720429E03|A530023P05|AI528490|WHISTLE|Whsc1l1	nuclear receptor binding SET domain protein 3	protein-coding
Sanchez_et_al_peak_222	chr10	79934338	79934517	+	37	NA	intron (NM_001288625, intron 3 of 8)	intron (NM_001288625, intron 3 of 8)	7086	NM_001288625	13496	Mm.301282	NM_007880	ENSMUSG00000019564	Arid3a	Bright|Dri1|Dril1	AT rich interactive domain 3A (BRIGHT-like)	protein-coding
Sanchez_et_al_peak_102	chr1	151686881	151687026	+	37	NA	intron (NM_022018, intron 5 of 13)	intron (NM_022018, intron 5 of 13)	67774	NR_151474	102640772		NR_151473	ENSMUSG00000100594	2810414N06Rik	-	RIKEN cDNA 2810414N06 gene	ncRNA
Sanchez_et_al_peak_281	chr10	125266088	125266269	+	37	NA	intron (NM_001358496, intron 3 of 5)	intron (NM_001358496, intron 3 of 5)	42638	NM_001358915	20503	Mm.29161	NM_011391	ENSMUSG00000020102	Slc16a7	4921534N07Rik|9030411M13Rik|D630004K10Rik|Mct2	solute carrier family 16 (monocarboxylic acid transporters), member 7	protein-coding
Sanchez_et_al_peak_923	chr15	81802360	81802575	+	37	NA	promoter-TSS (NM_153484)	promoter-TSS (NM_153484)	146	NR_155271	100504312	Mm.384036	NR_155271	ENSMUSG00000097613	Gm17597	-	predicted gene, 17597	ncRNA
Sanchez_et_al_peak_538	chr12	4843883	4844000	+	37	NA	intron (NM_001170858, intron 1 of 3)	(TG)n|Simple_repeat|Simple_repeat	638	NM_001170858	238037	Mm.146087	NM_173416	ENSMUSG00000051721	Wdcp	A430092C04	WD repeat and coiled coil containing	protein-coding
Sanchez_et_al_peak_822	chr15	8709707	8709824	+	37	NA	intron (NM_148938, intron 1 of 9)	intron (NM_148938, intron 1 of 9)	1042	NM_148938	20512	Mm.204834	NM_148938	ENSMUSG00000005360	Slc1a3	AI504299|B430115D02Rik|Eaat1|GLAST|GLAST-1|GLU-T|GluT-1|Gmt1|MGluT1	solute carrier family 1 (glial high affinity glutamate transporter), member 3	protein-coding
Sanchez_et_al_peak_2453	chr8	84985768	84985885	+	37	NA	Intergenic	Intergenic	-4760	NR_156707	170833	Mm.247775	NM_133255	ENSMUSG00000052566	Hook2	A630054I03Rik|mHK2	hook microtubule tethering protein 2	protein-coding
Sanchez_et_al_peak_1546	chr2	173026666	173026794	+	37	NA	intron (NM_019547, intron 3 of 3)	intron (NM_019547, intron 3 of 3)	4828	NM_019547	56190	Mm.485782	NM_019547	ENSMUSG00000027510	Rbm38	Rnpc1|Seb4|Seb4l	RNA binding motif protein 38	protein-coding
Sanchez_et_al_peak_2543	chr9	40801632	40801790	+	37	NA	intron (NM_001364480, intron 1 of 8)	CpG	435	NM_001364480	15481	Mm.290774	NM_031165	ENSMUSG00000015656	Hspa8	2410008N15Rik|Hsc70|Hsc71|Hsc73|Hsp73|Hspa10	heat shock protein 8	protein-coding
Sanchez_et_al_peak_193	chr10	59970231	59970432	+	37	NA	Intergenic	Intergenic	-18561	NM_029083	74747	Mm.21697	NM_029083	ENSMUSG00000020108	Ddit4	5830413E08Rik|AA415483|REDD1|Rtp801|dig2	DNA-damage-inducible transcript 4	protein-coding
Sanchez_et_al_peak_996	chr16	22009149	22009304	+	37	NA	promoter-TSS (NR_027488)	promoter-TSS (NR_027488)	-258	NM_029457	75826	Mm.297431	NM_029457	ENSMUSG00000022855	Senp2	2310007L05Rik|4930538C18Rik|AI646780|AW554757|Smt3ip2|SuPr-1|mKIAA1331	SUMO/sentrin specific peptidase 2	protein-coding
Sanchez_et_al_peak_2628	chr9	103366007	103366148	+	37	NA	promoter-TSS (NM_001134426)	promoter-TSS (NM_001134426)	-297	NM_175833	321022	Mm.261025	NM_175565	ENSMUSG00000032803	Cdv3	2510010F10Rik|C230084J24Rik|C79446|TPP36	carnitine deficiency-associated gene expressed in ventricle 3	protein-coding
Sanchez_et_al_peak_1800	chr4	141536430	141536733	+	37	NA	intron (NM_001347235, intron 1 of 14)	CpG	2016	NM_001347235	56381	Mm.299906	NM_019763	ENSMUSG00000040761	Spen	Mint|mKIAA0929	spen family transcription repressor	protein-coding
Sanchez_et_al_peak_2305	chr7	97579561	97579752	+	37	NA	promoter-TSS (NM_183251)	promoter-TSS (NM_183251)	-159	NM_001177946	66273	Mm.41583	NM_183251	ENSMUSG00000035642	Aamdc	1810020D17Rik|1810037D19Rik|LI2	adipogenesis associated Mth938 domain containing	protein-coding
Sanchez_et_al_peak_740	chr14	20083046	20083207	+	37	NA	promoter-TSS (NM_026209)	promoter-TSS (NM_026209)	46	NM_026209	67509	Mm.292423	NM_026209	ENSMUSG00000045107	Saysd1	1810063B07Rik|4930488P03Rik	SAYSVFN motif domain containing 1	protein-coding
Sanchez_et_al_peak_1094	chr17	26780813	26780979	+	37	NA	promoter-TSS (NM_172149)	promoter-TSS (NM_172149)	-183	NM_172149	224630	Mm.21795	NM_172149	ENSMUSG00000024191	Bnip1	2010005M06Rik|5930429G21Rik|Sec20	BCL2/adenovirus E1B interacting protein 1	protein-coding
Sanchez_et_al_peak_2012	chr6	17706038	17706203	+	37	NA	intron (NM_001289624, intron 1 of 15)	ORR1A3-int|LTR|ERVL-MaLR	12126	NM_001289624	64213	Mm.12051	NM_022332	ENSMUSG00000029534	St7	9430001H04Rik|Fam4a2|HELG|RAY1|SEN4|TSG7	suppression of tumorigenicity 7	protein-coding
Sanchez_et_al_peak_689	chr13	67451480	67451683	+	37	NA	promoter-TSS (NM_177712)	promoter-TSS (NM_177712)	43	NM_177712	238692	Mm.486478	NM_177712	ENSMUSG00000069206	Zfp874a	C330011K17Rik|Rslcan15|Zfp874	zinc finger protein 874a	protein-coding
Sanchez_et_al_peak_72	chr1	97769761	97769878	+	37	NA	promoter-TSS (NM_001310773)	promoter-TSS (NM_001310773)	273	NM_173760	227399	Mm.220817	NM_173760	ENSMUSG00000040648	Ppip5k2	AW555814|Cfap160|D330021B20|Hisppd1|Vip2|mKIAA0433	diphosphoinositol pentakisphosphate kinase 2	protein-coding
Sanchez_et_al_peak_1696	chr4	33261463	33261649	+	37	NA	Intergenic	Intergenic	-12769	NM_001033225	108767	Mm.27769	NM_001033225	ENSMUSG00000040128	Pnrc1	5730463C12Rik|B4-2|PRR2|Prol2	proline-rich nuclear receptor coactivator 1	protein-coding
Sanchez_et_al_peak_1235	chr18	65803213	65803330	+	37	NA	intron (NM_025468, intron 1 of 5)	intron (NM_025468, intron 1 of 5)	2693	NM_025468	66286	Mm.27800	NM_025468	ENSMUSG00000024516	Sec11c	1810029G24Rik|Sec11l3	SEC11 homolog C, signal peptidase complex subunit	protein-coding
Sanchez_et_al_peak_1049	chr16	91044599	91044716	+	37	NA	promoter-TSS (NM_026110)	promoter-TSS (NM_026110)	-278	NR_152264	67367	Mm.347	NM_026110	ENSMUSG00000022974	Paxbp1	1810007M14Rik|C21orf66|Gcfc|Gcfc1|Pax3/7bp	PAX3 and PAX7 binding protein 1	protein-coding
Sanchez_et_al_peak_213	chr10	75859501	75859666	+	37	NA	intron (NM_010798, intron 2 of 2)	intron (NM_010798, intron 2 of 2)	694	NM_010798	17319	Mm.2326	NM_010798	ENSMUSG00000033307	Mif	DER6|GIF|Glif	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	protein-coding
Sanchez_et_al_peak_2342	chr7	123419975	123420113	+	37	NA	intron (NM_001355050, intron 3 of 6)	intron (NM_001355050, intron 3 of 6)	12227	NM_001355050	30949	Mm.260527	NM_025304	ENSMUSG00000030763	Lcmt1	AL033290|LCMT-1|Lcmt	leucine carboxyl methyltransferase 1	protein-coding
Sanchez_et_al_peak_1566	chr3	32364303	32364420	+	37	NA	intron (NM_009517, intron 1 of 5)	intron (NM_009517, intron 1 of 5)	-1128	NR_027966	67576	Mm.435324	NR_027966		4930429B21Rik	-	RIKEN cDNA 4930429B21 gene	ncRNA
Sanchez_et_al_peak_1763	chr4	123647232	123647349	+	37	NA	intron (NM_001199136, intron 1 of 97)	tRNA-Ala-GCA|tRNA|tRNA	-18591	NR_136925	102633214	Mm.399387	NR_136925		Gm12925	-	predicted gene 12925	ncRNA
Sanchez_et_al_peak_2522	chr9	20888127	20888258	+	37	NA	promoter-TSS (NM_145610)	promoter-TSS (NM_145610)	17	NM_145610	235036	Mm.2930	NM_145610	ENSMUSG00000004100	Ppan	A230087P06Rik|SSF1	peter pan homolog	protein-coding
Sanchez_et_al_peak_2232	chr7	30231899	30232035	+	37	NA	promoter-TSS (NM_027259)	promoter-TSS (NM_027259)	-107	NM_027259	69920	Mm.440028	NM_027259	ENSMUSG00000019738	Polr2i	2810002B19Rik	polymerase (RNA) II (DNA directed) polypeptide I	protein-coding
Sanchez_et_al_peak_2457	chr8	90862148	90862281	+	37	NA	intron (NM_177224, intron 2 of 39)	intron (NM_177224, intron 2 of 39)	33379	NM_177224	109151	Mm.100615	NM_177224	ENSMUSG00000056608	Chd9	1810014J18Rik|9030205D12Rik|A330063D19Rik|AD013|PRIC320|mKIAA0308	chromodomain helicase DNA binding protein 9	protein-coding
Sanchez_et_al_peak_1710	chr4	46650284	46650451	+	37	NA	promoter-TSS (NM_198664)	promoter-TSS (NM_198664)	-168	NM_198664	381605	Mm.331595	NM_198664	ENSMUSG00000039813	Tbc1d2	A630005A06Rik|BC022630|Gm1037|PARIS-1|PARIS1	TBC1 domain family, member 2	protein-coding
Sanchez_et_al_peak_162	chr10	20233516	20233659	+	37	NA	intron (NM_001358787, intron 3 of 17)	intron (NM_001358787, intron 3 of 17)	25148	NM_001101561	621697	Mm.440587	NM_001101561		Rpl32l	EG621697|Gm6251	ribosomal protein L32-like	protein-coding
Sanchez_et_al_peak_1583	chr3	62348535	62348855	+	37	NA	intron (NM_001081295, intron 3 of 13)	intron (NM_001081295, intron 3 of 13)	9918	NM_001081295	622434	Mm.153974	NM_001081295	ENSMUSG00000036885	Arhgef26	4631416L12Rik|8430436L14Rik|AI303572|AW491953|SGEF	Rho guanine nucleotide exchange factor (GEF) 26	protein-coding
Sanchez_et_al_peak_2231	chr7	30000767	30000885	+	37	NA	intron (NM_001167873, intron 6 of 9)	intron (NM_001167873, intron 6 of 9)	16871	NM_001167872	243905	Mm.322432	NM_001033355	ENSMUSG00000074221	Zfp568	C80731|Gm1691|Znf568|chato	zinc finger protein 568	protein-coding
Sanchez_et_al_peak_357	chr11	57688243	57688360	+	37	NA	intron (NM_134189, intron 1 of 11)	intron (NM_134189, intron 1 of 11)	-38807	NR_153850	78762	Mm.362149	NR_153850		4933424L21Rik	-	RIKEN cDNA 4933424L21 gene	ncRNA
Sanchez_et_al_peak_1308	chr19	32202287	32202407	+	37	NA	intron (NM_001362423, intron 5 of 9)	intron (NM_001362423, intron 5 of 9)	8666	NM_001168526	208449	Mm.329810	NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|AI841905|C80702|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding
Sanchez_et_al_peak_259	chr10	99127694	99127824	+	37	NA	intron (NR_153333, intron 3 of 12)	intron (NR_153333, intron 3 of 12)	19624	NM_015737	14426	Mm.314	NM_015737	ENSMUSG00000090035	Galnt4	AV011803	polypeptide N-acetylgalactosaminyltransferase 4	protein-coding
Sanchez_et_al_peak_1440	chr2	75705296	75705423	+	37	NA	promoter-TSS (NM_010902)	promoter-TSS (NM_010902)	-696	NM_010902	18024	Mm.1025	NM_010902	ENSMUSG00000015839	Nfe2l2	Nrf2	nuclear factor, erythroid derived 2, like 2	protein-coding
Sanchez_et_al_peak_2537	chr9	37488651	37488768	+	37	NA	promoter-TSS (NM_146222)	promoter-TSS (NM_146222)	-612	NM_146222	235184	Mm.127892	NM_146222	ENSMUSG00000042138	Msantd2	2810450G17Rik|9530092B10Rik	Myb/SANT-like DNA-binding domain containing 2	protein-coding
Sanchez_et_al_peak_1117	chr17	33940590	33940707	+	37	NA	promoter-TSS (NM_010385)	promoter-TSS (NM_010385)	-75	NM_020603	57315	Mm.2437	NM_020603	ENSMUSG00000024312	Wdr46	2310007I04Rik|Bing4|C78447|C78559	WD repeat domain 46	protein-coding
Sanchez_et_al_peak_1980	chr5	144190290	144190530	+	37	NA	intron (NM_010800, intron 1 of 1)	intron (NM_010800, intron 1 of 1)	124	NM_010800	17341	Mm.386767	NM_010800	ENSMUSG00000052271	Bhlha15	1810009C13Rik|Bhlhb8|MIST-1|Mist1	basic helix-loop-helix family, member a15	protein-coding
Sanchez_et_al_peak_2488	chr8	117562066	117562250	+	37	NA	intron (NM_172285, intron 5 of 32)	intron (NM_172285, intron 5 of 32)	63883	NM_172285	234779	Mm.192699	NM_172285	ENSMUSG00000034330	Plcg2	PLC-gamma-2|PLCgamma2|Plcg-2	phospholipase C, gamma 2	protein-coding
Sanchez_et_al_peak_2589	chr9	66606495	66606658	+	37	NA	Intergenic	Intergenic	-13461	NM_001302116	235441	Mm.32465	NM_144937	ENSMUSG00000032376	Usp3	AA409661|BC017156	ubiquitin specific peptidase 3	protein-coding
Sanchez_et_al_peak_1594	chr3	85813734	85813869	+	37	NA	Intergenic	Intergenic	-67592	NM_172682	229488	Mm.119926	NM_172682	ENSMUSG00000051000	Fam160a1	9930021J17Rik	family with sequence similarity 160, member A1	protein-coding
Sanchez_et_al_peak_2622	chr9	96119151	96119268	+	37	NA	promoter-TSS (NM_177352)	promoter-TSS (NM_177352)	-220	NM_001368879	235533	Mm.213651	NM_177352	ENSMUSG00000041440	Gk5	AV095337|C330018K18Rik|G630067D24Rik	glycerol kinase 5 (putative)	protein-coding
Sanchez_et_al_peak_2600	chr9	71770080	71770246	+	37	NA	intron (NM_026599, intron 1 of 18)	intron (NM_026599, intron 1 of 18)	1439	NM_026599	68178	Mm.99961	NM_026599	ENSMUSG00000032232	Cgnl1	4933421H10Rik|9930020M10Rik|AI503810|Jacop	cingulin-like 1	protein-coding
Sanchez_et_al_peak_577	chr12	69582992	69583164	+	37	NA	promoter-TSS (NM_001033236)	promoter-TSS (NM_001033236)	-50	NM_001033236	207965	Mm.102487	NM_001033236	ENSMUSG00000049882	Vcpkmt	Gm71|Mettl21d|Mettl221d|VCP-KMT	valosin containing protein lysine (K) methyltransferase	protein-coding
Sanchez_et_al_peak_1970	chr5	140505416	140505536	+	37	NA	promoter-TSS (NM_021528)	promoter-TSS (NM_021528)	-133	NM_021528	59031	Mm.28934	NM_021528	ENSMUSG00000036599	Chst12	AI595374|C4S-2|C4ST2	carbohydrate sulfotransferase 12	protein-coding
Sanchez_et_al_peak_2008	chr6	8414105	8414332	+	37	NA	intron (NM_001302353, intron 4 of 4)	intron (NM_001302353, intron 4 of 4)	94943	NR_040452	320312	Mm.374890	NR_040452	ENSMUSG00000087305	A430035B10Rik	2810488G03Rik	RIKEN cDNA A430035B10 gene	ncRNA
Sanchez_et_al_peak_1724	chr4	82499309	82499526	+	37	NA	intron (NM_001113209, intron 1 of 11)	intron (NM_001113209, intron 1 of 11)	6362	NM_008687	18028	Mm.317947	NM_008687	ENSMUSG00000008575	Nfib	6720429L07Rik|CTF|E030026I10Rik|NF-I/B|NF1-B|NFI-B	nuclear factor I/B	protein-coding
Sanchez_et_al_peak_503	chr11	116030842	116030968	+	37	NA	intron (NM_172569, intron 1 of 15)	intron (NM_172569, intron 1 of 15)	589	NM_001286006	217331	Mm.297706	NM_172569	ENSMUSG00000020770	Unk	B230379M23Rik|Unkh|Zc3h5|Zc3hdc5|mKIAA1753	unkempt family zinc finger	protein-coding
Sanchez_et_al_peak_2670	chrX	103616371	103616488	+	37	NA	intron (NR_028380, intron 1 of 10)	intron (NR_028380, intron 1 of 10)	7325	NR_028381	78878	Mm.259724	NR_028380	ENSMUSG00000086370	Ftx	B230206F22Rik|BB219131|NCRNA00182|Thcytx	Ftx transcript, Xist regulator (non-protein coding)	ncRNA
Sanchez_et_al_peak_2478	chr8	107423047	107423164	+	37	NA	intron (NM_026277, intron 2 of 8)	B3|SINE|B2	1933	NM_026277	67619	Mm.334793	NM_026277	ENSMUSG00000003848	Nob1	1700021I09Rik|ART-4|Nob1p|Psmd8bp1	NIN1/RPN12 binding protein 1 homolog	protein-coding
Sanchez_et_al_peak_1556	chr3	24747174	24747325	+	37	NA	intron (NM_001326288, intron 1 of 13)	intron (NM_001326288, intron 1 of 13)	36757	NM_001326288	635702	Mm.448351	NM_001326288	ENSMUSG00000102758	Naaladl2	2810043G22Rik|EG635702|Gm1021	N-acetylated alpha-linked acidic dipeptidase-like 2	protein-coding
Sanchez_et_al_peak_2565	chr9	59657222	59657341	+	37	NA	intron (NM_011099, intron 1 of 10)	CpG	913	NM_011099	18746	Mm.326167	NM_011099	ENSMUSG00000032294	Pkm	AA414905|AL024370|AL024424|Pk-2|Pk-3|Pk3|Pkm2	pyruvate kinase, muscle	protein-coding
Sanchez_et_al_peak_2659	chrM	15914	16135	+	36	NA	NA	Intergenic	NA	NA								
Sanchez_et_al_peak_655	chr13	37913244	37913395	+	36	NA	intron (NM_026830, intron 6 of 9)	intron (NM_026830, intron 6 of 9)	24448	NM_001177869	68750	Mm.491109	NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|AA414966|B930013M22Rik	ras responsive element binding protein 1	protein-coding
Sanchez_et_al_peak_824	chr15	10225905	10226022	+	35	NA	intron (NM_001253781, intron 1 of 9)	intron (NM_001253781, intron 1 of 9)	2057	NM_001253781	19116	Mm.10516	NM_011169	ENSMUSG00000005268	Prlr	AI987712|Pr-1|Pr-3|Prlr-rs1	prolactin receptor	protein-coding
Sanchez_et_al_peak_677	chr13	55536710	55536848	+	35	NA	promoter-TSS (NM_134059)	promoter-TSS (NM_134059)	-121	NM_134059	72935	Mm.205045	NM_134059	ENSMUSG00000021494	Ddx41	2900024F02Rik|AA958953|ABS|AI324246	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	protein-coding
Sanchez_et_al_peak_2036	chr6	37507186	37507367	+	35	NA	Intergenic	PB1D11|SINE|Alu	-22897	NM_145364	208665	Mm.262635	NM_145364	ENSMUSG00000038641	Akr1d1	-	aldo-keto reductase family 1, member D1	protein-coding
Sanchez_et_al_peak_2194	chr7	12921682	12921897	+	35	NA	promoter-TSS (NM_009095)	promoter-TSS (NM_009095)	-522	NM_009095	20103	Mm.5291	NM_009095	ENSMUSG00000012848	Rps5	AA617411	ribosomal protein S5	protein-coding
Sanchez_et_al_peak_2123	chr6	95594169	95594286	+	35	NA	intron (NM_011507, intron 4 of 10)	intron (NM_011507, intron 4 of 10)	98655	NM_001326558	20917	Mm.371585	NM_011507	ENSMUSG00000061838	Suclg2	AF171077|AW556404|D6Wsu120e|G-SCS|GTPSCS|SCS-betaG	succinate-Coenzyme A ligase, GDP-forming, beta subunit	protein-coding
Sanchez_et_al_peak_1292	chr19	11966739	11966856	+	35	NA	intron (NM_001033174, intron 1 of 13)	intron (NM_001033174, intron 1 of 13)	953	NM_001033174	76303	Mm.291279	NM_001033174	ENSMUSG00000024687	Osbp	1110018F06Rik|AW559088|mKIAA4220	oxysterol binding protein	protein-coding
Sanchez_et_al_peak_305	chr11	5880046	5880163	+	35	NA	Intergenic	B3|SINE|B2	-1848	NM_008894	18972	Mm.35788	NM_008894	ENSMUSG00000020471	Pold2	50kDa|p50|po1D2	polymerase (DNA directed), delta 2, regulatory subunit	protein-coding
Sanchez_et_al_peak_693	chr13	74609708	74609923	+	35	NA	Intergenic	MMETn-int|LTR|ERVK	-30038	NM_030711	80898	Mm.83526	NM_030711	ENSMUSG00000021583	Erap1	A-LAP|ARTS-1|Arts1|ERAAP|PILSA|PILSAP	endoplasmic reticulum aminopeptidase 1	protein-coding
Sanchez_et_al_peak_2313	chr7	101145189	101145322	+	35	NA	intron (NM_001146010, intron 3 of 19)	ID_B1|SINE|B4	36480	NM_199012	207278	Mm.263041	NM_199012	ENSMUSG00000030691	Fchsd2	BC034086|NWK1|R74866|Sh3md3|mKIAA0769	FCH and double SH3 domains 2	protein-coding
Sanchez_et_al_peak_1312	chr19	32760612	32760729	+	35	NA	intron (NM_008960, intron 1 of 8)	intron (NM_008960, intron 1 of 8)	3093	NM_008960	19211	Mm.245395	NM_008960	ENSMUSG00000013663	Pten	2310035O07Rik|A130070J02Rik|AI463227|B430203M17Rik|MMAC1|PTENbeta|TEP1	phosphatase and tensin homolog	protein-coding
Sanchez_et_al_peak_553	chr12	30850879	30850999	+	35	NA	Intergenic	Intergenic	-33385	NM_001159743	100294583	Mm.399726	NM_001159743	ENSMUSG00000054204	Alkal2	6230419C23Rik|Fam150b	ALK and LTK ligand 2	protein-coding
Sanchez_et_al_peak_287	chr10	128175337	128175454	+	35	NA	intron (NM_001039080, intron 2 of 13)	intron (NM_001039080, intron 2 of 13)	1173	NM_019711	56516	Mm.42247	NM_019711	ENSMUSG00000040043	Rbms2	2610315E04Rik|Scr3	RNA binding motif, single stranded interacting protein 2	protein-coding
Sanchez_et_al_peak_779	chr14	60738474	60738679	+	35	NA	intron (NM_001310594, intron 1 of 9)	L1MB2|LINE|L1	5672	NM_001310594	219140	Mm.149776	NM_001033272	ENSMUSG00000021990	Spata13	C79050|ESTM11|X83327|mFLJ00298	spermatogenesis associated 13	protein-coding
Sanchez_et_al_peak_691	chr13	67724325	67724442	+	34	NA	intron (NM_145622, intron 1 of 3)	intron (NM_145622, intron 1 of 3)	4790	NM_145622	235907	Mm.440123	NM_145622	ENSMUSG00000071281	Zfp65	KRAB5|Zfp71-rs1|pz114	zinc finger protein 65	protein-coding
Sanchez_et_al_peak_1752	chr4	118054817	118054955	+	34	NA	intron (NM_001285520, intron 2 of 11)	intron (NM_001285520, intron 2 of 11)	80060	NM_001285520	20441	Mm.251002	NM_009176	ENSMUSG00000028538	St3gal3	ST3GalIII|ST3N|Siat3|Siat6	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	protein-coding
